Number,Country,Population,Yearly_Change,Net_Change,Density,Land_Area,Migrants,Fert_Rate,Med_Age,Urban_Pop,World_Share
1,India,"1,42,86,27,663",0.81%,"1,14,54,490",481,"29,73,190","-4,86,136",2,28,36%,17.76%
2,China,"1,42,56,71,352",-0.02%,"-2,15,985",152,"93,88,211","-3,10,220",1.2,39,65%,17.72%
3,United States,"33,99,96,563",0.50%,"17,06,706",37,"91,47,420","9,99,700",1.7,38,83%,4.23%
4,Indonesia,"27,75,34,122",0.74%,"20,32,783",153,"18,11,570","-49,997",2.1,30,59%,3.45%
5,Pakistan,"24,04,85,658",1.98%,"46,60,796",312,"7,70,880","-1,65,988",3.3,21,35%,2.99%
6,Nigeria,"22,38,04,632",2.41%,"52,63,420",246,"9,10,770","-59,996",5.1,17,54%,2.78%
7,Brazil,"21,64,22,446",0.52%,"11,08,948",26,"83,58,140","6,000",1.6,34,88%,2.69%
8,Bangladesh,"17,29,54,319",1.03%,"17,67,947","1,329","1,30,170","-3,09,977",1.9,27,41%,2.15%
9,Russia,"14,44,44,359",-0.19%,"-2,68,955",9,"1,63,76,870","-1,36,414",1.5,39,75%,1.80%
10,Mexico,"12,84,55,567",0.75%,"9,51,442",66,"19,43,950","-50,239",1.8,30,88%,1.60%
11,Ethiopia,"12,65,27,060",2.55%,"31,47,136",127,"10,00,000","-11,999",4,19,22%,1.57%
12,Japan,"12,32,94,513",-0.53%,"-6,57,179",338,"3,64,555","99,994",1.3,49,94%,1.53%
13,Philippines,"11,73,37,368",1.54%,"17,78,359",394,"2,98,170","-69,996",2.7,25,47%,1.46%
14,Egypt,"11,27,16,598",1.56%,"17,26,495",113,"9,95,450","-29,998",2.8,24,41%,1.40%
15,DR Congo,"10,22,62,808",3.29%,"32,52,596",45,"22,67,050","-14,999",6.1,16,46%,1.27%
16,Vietnam,"9,88,58,950",0.68%,"6,72,094",319,"3,10,070","-82,700",1.9,33,40%,1.23%
17,Iran,"8,91,72,767",0.70%,"6,22,197",55,"16,28,550","-39,998",1.7,33,74%,1.11%
18,Turkey,"8,58,16,199",0.56%,"4,74,958",112,"7,69,630","-3,18,067",1.9,32,77%,1.07%
19,Germany,"8,32,94,633",-0.09%,"-75,210",239,"3,48,560","1,55,751",1.5,45,77%,1.04%
20,Thailand,"7,18,01,279",0.15%,"1,04,249",141,"5,10,890","18,999",1.3,40,52%,0.89%
21,United Kingdom,"6,77,36,802",0.34%,"2,27,866",280,"2,41,930","1,65,790",1.6,40,85%,0.84%
22,Tanzania,"6,74,38,106",2.96%,"19,40,358",76,"8,85,800","-39,997",4.6,17,38%,0.84%
23,France,"6,47,56,584",0.20%,"1,29,956",118,"5,47,557","67,761",1.8,42,84%,0.80%
24,South Africa,"6,04,14,495",0.87%,"5,20,610",50,"12,13,090","58,496",2.3,28,69%,0.75%
25,Italy,"5,88,70,762",-0.28%,"-1,66,712",200,"2,94,140","58,496",1.3,48,72%,0.73%
26,Kenya,"5,51,00,586",1.99%,"10,73,099",97,"5,69,140","-10,000",3.2,20,31%,0.68%
27,Myanmar,"5,45,77,997",0.74%,"3,98,691",84,"6,53,290","-34,998",2.1,30,33%,0.68%
28,Colombia,"5,20,85,168",0.41%,"2,11,144",47,"11,09,500","-1,75,051",1.7,32,81%,0.65%
29,South Korea,"5,17,84,059",-0.06%,"-31,751",533,"97,230","29,998",0.9,44,82%,0.64%
30,Uganda,"4,85,82,334",2.82%,"13,32,749",243,"1,99,810","-1,26,181",4.4,16,29%,0.60%
31,Sudan,"4,81,09,006",2.63%,"12,34,802",27,"17,65,048","-9,999",4.3,19,35%,0.60%
32,Spain,"4,75,19,628",-0.08%,"-39,002",95,"4,98,800","39,998",1.3,45,80%,0.59%
33,Argentina,"4,57,73,884",0.58%,"2,63,566",17,"27,36,690","3,718",1.9,32,94%,0.57%
34,Algeria,"4,56,06,480",1.57%,"7,03,255",19,"23,81,740","-9,999",2.8,28,75%,0.57%
35,Iraq,"4,55,04,560",2.27%,"10,08,438",105,"4,34,320","-6,000",3.4,20,71%,0.57%
36,Afghanistan,"4,22,39,854",2.70%,"11,11,083",65,"6,52,860","-65,846",4.4,17,26%,0.53%
37,Poland,"4,10,26,067",2.93%,"11,68,922",134,"3,06,230","-9,10,475",1.5,40,55%,0.51%
38,Canada,"3,87,81,291",0.85%,"3,26,964",4,"90,93,510","2,49,746",1.5,41,81%,0.48%
39,Morocco,"3,78,40,044",1.02%,"3,82,073",85,"4,46,300","-39,998",2.3,29,66%,0.47%
40,Saudi Arabia,"3,69,47,025",1.48%,"5,38,205",17,"21,49,690","28,998",2.4,31,83%,0.46%
41,Ukraine,"3,67,44,634",-7.45%,"-29,57,105",63,"5,79,320","17,84,718",1.3,45,82%,0.46%
42,Angola,"3,66,84,202",3.08%,"10,95,215",29,"12,46,700","-1,000",5.1,16,68%,0.46%
43,Uzbekistan,"3,51,63,944",1.55%,"5,36,292",83,"4,25,400","-19,999",2.8,27,49%,0.44%
44,Yemen,"3,44,49,825",2.24%,"7,53,211",65,"5,27,970","-29,914",3.6,19,37%,0.43%
45,Peru,"3,43,52,719",0.89%,"3,03,131",27,"12,80,000","-61,442",2.1,29,79%,0.43%
46,Malaysia,"3,43,08,525",1.09%,"3,70,304",104,"3,28,550","48,997",1.8,31,78%,0.43%
47,Ghana,"3,41,21,985",1.93%,"6,46,115",150,"2,27,540","-9,999",3.5,21,57%,0.42%
48,Mozambique,"3,38,97,354",2.81%,"9,27,836",43,"7,86,380","-5,000",4.5,17,40%,0.42%
49,Nepal,"3,08,96,590",1.14%,"3,49,010",216,"1,43,350","-62,012",2,24,22%,0.38%
50,Madagascar,"3,03,25,732",2.41%,"7,14,018",52,"5,81,795","-1,500",3.7,19,40%,0.38%
51,Côte d'Ivoire,"2,88,73,034",2.53%,"7,12,492",91,"3,18,000","6,000",4.3,18,52%,0.36%
52,Venezuela,"2,88,38,499",1.90%,"5,36,803",33,"8,82,050","3,21,106",2.2,28,N.A.,0.36%
53,Cameroon,"2,86,47,293",2.63%,"7,32,757",61,"4,72,710","-4,800",4.3,18,58%,0.36%
54,Niger,"2,72,02,843",3.80%,"9,94,866",21,"12,66,700","1,000",6.7,15,17%,0.34%
55,Australia,"2,64,39,111",1.00%,"2,61,698",3,"76,82,300","1,39,991",1.6,38,86%,0.33%
56,North Korea,"2,61,60,821",0.35%,"91,405",217,"1,20,410","-2,000",1.8,36,63%,0.33%
57,Taiwan,"2,39,23,276",0.13%,"29,882",676,"35,410","23,999",1.2,42,80%,0.30%
58,Mali,"2,32,93,698",3.10%,"7,00,108",19,"12,20,190","-39,998",5.8,15,44%,0.29%
59,Burkina Faso,"2,32,51,485",2.55%,"5,77,723",85,"2,73,600","-24,998",4.6,17,32%,0.29%
60,Syria,"2,32,27,014",4.98%,"11,01,765",126,"1,83,630","7,57,103",2.7,22,53%,0.29%
61,Sri Lanka,"2,18,93,579",0.28%,"61,436",349,"62,710","-77,495",2,33,19%,0.27%
62,Malawi,"2,09,31,751",2.58%,"5,26,434",222,"94,280","-6,000",3.8,17,19%,0.26%
63,Zambia,"2,05,69,737",2.76%,"5,52,062",28,"7,43,390","-5,000",4.2,17,46%,0.26%
64,Romania,"1,98,92,812",1.19%,"2,33,545",86,"2,30,170","-2,54,616",1.7,41,53%,0.25%
65,Chile,"1,96,29,590",0.13%,"25,857",26,"7,43,532","-71,205",1.5,36,85%,0.24%
66,Kazakhstan,"1,96,06,633",1.08%,"2,08,635",7,"26,99,700",0,3,30,57%,0.24%
67,Chad,"1,82,78,568",3.13%,"5,55,253",15,"12,59,200","-2,000",6.1,15,24%,0.23%
68,Ecuador,"1,81,90,484",1.05%,"1,89,484",73,"2,48,360","-21,525",2,28,64%,0.23%
69,Somalia,"1,81,43,378",3.10%,"5,45,867",29,"6,27,340","-30,000",6.1,15,46%,0.23%
70,Guatemala,"1,80,92,026",1.39%,"2,48,118",169,"1,07,160","-9,110",2.3,23,55%,0.22%
71,Senegal,"1,77,63,163",2.58%,"4,46,714",92,"1,92,530","-19,999",4.3,18,52%,0.22%
72,Netherlands,"1,76,18,299",0.31%,"54,285",522,"33,720","29,998",1.6,42,92%,0.22%
73,Cambodia,"1,69,44,826",1.06%,"1,76,984",96,"1,76,520","-29,998",2.3,27,26%,0.21%
74,Zimbabwe,"1,66,65,409",2.11%,"3,44,872",43,"3,86,850","-9,999",3.4,18,37%,0.21%
75,Guinea,"1,41,90,612",2.39%,"3,31,271",58,"2,45,720","-4,000",4.2,18,40%,0.18%
76,Rwanda,"1,40,94,683",2.31%,"3,17,985",571,"24,670","-8,999",3.7,19,18%,0.18%
77,Benin,"1,37,12,828",2.70%,"3,59,964",122,"1,12,760",-200,4.8,18,48%,0.17%
78,Burundi,"1,32,38,559",2.71%,"3,48,983",516,"25,680","2,000",4.9,16,15%,0.16%
79,Tunisia,"1,24,58,223",0.83%,"1,02,106",80,"1,55,360","-4,000",2,32,69%,0.15%
80,Bolivia,"1,23,88,571",1.35%,"1,64,461",11,"10,83,300","-3,000",2.5,24,69%,0.15%
81,Haiti,"1,17,24,763",1.21%,"1,39,767",425,"27,560","-31,811",2.7,23,60%,0.15%
82,Belgium,"1,16,86,140",0.26%,"30,210",386,"30,280","23,999",1.6,41,99%,0.15%
83,Jordan,"1,13,37,052",0.45%,"51,183",128,"88,780","-1,57,392",2.7,24,85%,0.14%
84,Dominican Republic,"1,13,32,972",0.93%,"1,04,151",235,"48,320","-29,099",2.2,28,85%,0.14%
85,Cuba,"1,11,94,449",-0.16%,"-17,742",105,"1,06,440","-6,000",1.5,41,80%,0.14%
86,South Sudan,"1,10,88,796",1.61%,"1,75,632",18,"6,10,952","-23,291",4.3,17,28%,0.14%
87,Sweden,"1,06,12,086",0.59%,"62,739",26,"4,10,340","39,998",1.7,40,86%,0.13%
88,Honduras,"1,05,93,798",1.54%,"1,60,938",95,"1,11,890","-5,034",2.3,24,58%,0.13%
89,Czech Republic (Czechia),"1,04,95,295",0.01%,"1,309",136,"77,240","22,011",1.7,43,75%,0.13%
90,Azerbaijan,"1,04,12,651",0.53%,"54,577",126,"82,658",0,1.7,32,57%,0.13%
91,Greece,"1,03,41,277",-0.42%,"-43,694",80,"1,28,900","5,000",1.4,45,86%,0.13%
92,Papua New Guinea,"1,03,29,931",1.85%,"1,87,312",23,"4,52,860",-800,3.1,22,12%,0.13%
93,Portugal,"1,02,47,605",-0.23%,"-23,260",112,"91,590","9,999",1.4,46,67%,0.13%
94,Hungary,"1,01,56,239",1.90%,"1,88,931",112,"90,530","-1,56,677",1.6,42,68%,0.13%
95,Tajikistan,"1,01,43,543",1.92%,"1,90,756",72,"1,39,960","-19,999",3.1,22,28%,0.13%
96,United Arab Emirates,"95,16,871",0.80%,"75,742",114,"83,600",0,1.4,34,94%,0.12%
97,Belarus,"94,98,238",-0.39%,"-36,716",47,"2,02,910","-4,282",1.5,41,80%,0.12%
98,Israel,"91,74,520",1.51%,"1,36,211",424,"21,640","9,999",2.9,29,92%,0.11%
99,Togo,"90,53,799",2.32%,"2,05,100",166,"54,390","-2,000",4.1,19,44%,0.11%
100,Austria,"89,58,960",0.22%,"19,343",109,"82,409","19,999",1.5,43,59%,0.11%
101,Switzerland,"87,96,669",0.64%,"56,197",223,"39,516","39,998",1.5,42,75%,0.11%
102,Sierra Leone,"87,91,092",2.15%,"1,85,374",122,"72,180","-4,000",3.8,19,43%,0.11%
103,Laos,"76,33,779",1.39%,"1,04,304",33,"2,30,800","-9,999",2.4,24,37%,0.09%
104,Hong Kong,"74,91,609",0.04%,"2,744","7,135","1,050","19,999",0.8,46,N.A.,0.09%
105,Serbia,"71,49,077",-1.00%,"-72,288",82,"87,460","-9,999",1.5,43,69%,0.09%
106,Nicaragua,"70,46,310",1.41%,"97,918",59,"1,20,340","-8,000",2.3,25,56%,0.09%
107,Libya,"68,88,388",1.12%,"76,047",4,"17,59,540","-2,000",2.4,27,82%,0.09%
108,Paraguay,"68,61,524",1.19%,"80,780",17,"3,97,300","-12,499",2.4,26,67%,0.09%
109,Kyrgyzstan,"67,35,347",1.58%,"1,04,724",35,"1,91,800","-9,999",2.9,24,37%,0.08%
110,Bulgaria,"66,87,717",-1.39%,"-94,236",62,"1,08,560","-4,800",1.6,45,78%,0.08%
111,Turkmenistan,"65,16,100",1.33%,"85,330",14,"4,69,930","-4,000",2.6,26,52%,0.08%
112,El Salvador,"63,64,943",0.45%,"28,551",307,"20,720","-23,249",1.8,27,78%,0.08%
113,Congo,"61,06,869",2.29%,"1,36,445",18,"3,41,500","-1,000",4,18,70%,0.08%
114,Singapore,"60,14,723",0.65%,"39,034","8,592",700,"26,998",1,43,N.A.,0.07%
115,Denmark,"59,10,913",0.49%,"28,652",139,"42,430","19,999",1.7,41,88%,0.07%
116,Slovakia,"57,95,199",2.69%,"1,51,746",121,"48,088","-1,12,067",1.6,40,51%,0.07%
117,Central African Republic,"57,42,315",2.92%,"1,63,171",9,"6,22,980","-14,716",5.8,15,40%,0.07%
118,Finland,"55,45,475",0.09%,"4,730",18,"3,03,890","13,999",1.4,43,87%,0.07%
119,Norway,"54,74,360",0.74%,"40,041",15,"3,65,268","27,998",1.5,40,86%,0.07%
120,Liberia,"54,18,377",2.18%,"1,15,696",56,"96,320","-5,000",4,18,54%,0.07%
121,State of Palestine,"53,71,230",2.31%,"1,21,158",892,"6,020","-5,000",3.4,20,83%,0.07%
122,Lebanon,"53,53,930",-2.47%,"-1,35,809",523,"10,230","-1,77,331",2.1,29,97%,0.07%
123,New Zealand,"52,28,100",0.83%,"42,812",20,"2,63,310","12,999",1.8,37,82%,0.06%
124,Costa Rica,"52,12,173",0.60%,"31,344",102,"51,060","3,750",1.5,34,82%,0.06%
125,Ireland,"50,56,935",0.67%,"33,826",73,"68,890","9,999",1.8,38,64%,0.06%
126,Mauritania,"48,62,989",2.68%,"1,26,850",5,"10,30,700","3,000",4.3,18,61%,0.06%
127,Oman,"46,44,384",1.49%,"68,086",15,"3,09,500",0,2.5,29,N.A.,0.06%
128,Panama,"44,68,087",1.35%,"59,506",60,"74,340","7,262",2.3,29,70%,0.06%
129,Kuwait,"43,10,108",0.97%,"41,235",242,"17,820","11,999",2.1,40,N.A.,0.05%
130,Croatia,"40,08,617",-0.54%,"-21,741",72,"55,960","-2,000",1.4,44,59%,0.05%
131,Eritrea,"37,48,901",1.76%,"64,869",37,"1,01,000","-15,297",3.7,19,67%,0.05%
132,Georgia,"37,28,282",-0.43%,"-16,103",54,"69,490","-9,999",2.1,37,63%,0.05%
133,Mongolia,"34,47,157",1.44%,"48,791",2,"15,53,560",-850,2.7,27,67%,0.04%
134,Moldova,"34,35,931",4.98%,"1,62,935",105,"32,850","-1,25,204",1.8,35,50%,0.04%
135,Uruguay,"34,23,108",0.01%,314,20,"1,75,020","-1,500",1.5,36,99%,0.04%
136,Puerto Rico,"32,60,314",0.24%,"7,907",368,"8,870","19,835",1.3,44,N.A.,0.04%
137,Bosnia and Herzegovina,"32,10,847",-0.70%,"-22,679",63,"51,000",-500,1.3,42,54%,0.04%
138,Albania,"28,32,439",-0.35%,"-9,882",103,"27,400","-8,000",1.4,38,67%,0.04%
139,Jamaica,"28,25,544",-0.06%,"-1,833",261,"10,830","-10,999",1.3,32,59%,0.04%
140,Armenia,"27,77,970",-0.09%,"-2,499",98,"28,470","-5,000",1.6,35,67%,0.03%
141,Gambia,"27,73,168",2.48%,"67,176",274,"10,120","-3,000",4.5,17,58%,0.03%
142,Lithuania,"27,18,352",-1.15%,"-31,703",43,"62,674","-13,128",1.6,44,71%,0.03%
143,Qatar,"27,16,391",0.79%,"21,269",234,"11,610",0,1.8,34,N.A.,0.03%
144,Botswana,"26,75,352",1.71%,"45,056",5,"5,66,730","3,000",2.7,24,69%,0.03%
145,Namibia,"26,04,172",1.45%,"37,160",3,"8,23,290","-3,916",3.2,21,60%,0.03%
146,Gabon,"24,36,566",1.99%,"47,574",9,"2,57,670","1,000",3.4,22,85%,0.03%
147,Lesotho,"23,30,318",1.06%,"24,493",77,"30,360","-4,000",2.9,22,31%,0.03%
148,Guinea-Bissau,"21,50,842",2.15%,"45,276",76,"28,120","-1,400",3.8,19,45%,0.03%
149,Slovenia,"21,19,675",-0.01%,-169,105,"20,140","2,000",1.6,44,55%,0.03%
150,North Macedonia,"20,85,679",-0.38%,"-7,920",83,"25,220","-1,000",1.4,39,60%,0.03%
151,Latvia,"18,30,211",-1.10%,"-20,440",29,"62,200","-7,630",1.6,44,69%,0.02%
152,Equatorial Guinea,"17,14,671",2.37%,"39,763",61,"28,050","4,000",4.1,21,67%,0.02%
153,Trinidad and Tobago,"15,34,937",0.25%,"3,893",299,"5,130",-800,1.6,36,48%,0.02%
154,Bahrain,"14,85,509",0.90%,"13,276","1,955",760,0,1.8,34,N.A.,0.02%
155,Timor-Leste,"13,60,596",1.44%,"19,300",91,"14,870","-5,000",3,21,35%,0.02%
156,Estonia,"13,22,765",-0.25%,"-3,297",31,"42,390","-1,000",1.7,42,68%,0.02%
157,Mauritius,"13,00,557",0.08%,"1,088",641,"2,030",0,1.4,37,40%,0.02%
158,Cyprus,"12,60,138",0.69%,"8,650",136,"9,240","5,000",1.3,39,65%,0.02%
159,Eswatini,"12,10,822",0.76%,"9,152",70,"17,200","-5,268",2.8,22,31%,0.02%
160,Djibouti,"11,36,455",1.39%,"15,606",49,"23,180",900,2.7,24,72%,0.01%
161,Réunion,"9,81,796",0.80%,"7,744",393,"2,500",-630,2.2,34,93%,0.01%
162,Fiji,"9,36,375",0.71%,"6,609",51,"18,270","-3,289",2.4,27,59%,0.01%
163,Comoros,"8,52,075",1.83%,"15,301",458,"1,861","-2,000",3.8,20,33%,0.01%
164,Guyana,"8,13,834",0.63%,"5,108",4,"1,96,850","-3,900",2.3,26,27%,0.01%
165,Bhutan,"7,87,424",0.64%,"4,969",21,"38,117",300,1.4,29,49%,0.01%
166,Solomon Islands,"7,40,424",2.23%,"16,151",26,"27,990","-1,600",3.9,19,24%,0.01%
167,Macao,"7,04,149",1.29%,"8,981","23,472",30,"5,000",1.1,39,97%,0.01%
168,Luxembourg,"6,54,768",1.11%,"7,169",253,"2,590","4,883",1.4,39,88%,0.01%
169,Montenegro,"6,26,485",-0.10%,-597,47,"13,450",-480,1.7,39,69%,0.01%
170,Suriname,"6,23,236",0.84%,"5,196",4,"1,56,000","-1,000",2.3,28,63%,0.01%
171,Cabo Verde,"5,98,682",0.93%,"5,533",149,"4,030","-1,227",1.9,27,67%,0.01%
172,Western Sahara,"5,87,259",1.96%,"11,273",2,"2,66,000","5,600",2.2,32,95%,0.01%
173,Micronesia,"5,44,321",0.98%,"5,308",778,700,"-1,642",2.7,26,71%,0.01%
174,Malta,"5,35,064",0.33%,"1,778","1,672",320,850,1.2,40,78%,0.01%
175,Maldives,"5,21,021",-0.53%,"-2,766","1,737",300,"-8,652",1.7,32,39%,0.01%
176,Brunei ,"4,52,524",0.78%,"3,522",86,"5,270",0,1.7,33,80%,0.01%
177,Bahamas,"4,12,623",0.64%,"2,639",41,"10,010","1,000",1.4,33,85%,0.01%
178,Belize,"4,10,825",1.37%,"5,553",18,"22,810",600,2,26,48%,0.01%
179,Guadeloupe,"3,95,839",0.02%,87,234,"1,690",-800,2,42,N.A.,0.00%
180,Iceland,"3,75,318",0.65%,"2,419",4,"1,00,250",380,1.7,36,88%,0.00%
181,Martinique,"3,66,981",-0.14%,-526,346,"1,060",-650,1.9,47,94%,0.00%
182,Mayotte,"3,35,995",3.03%,"9,894",896,375,0,4.3,17,40%,0.00%
183,Vanuatu,"3,34,506",2.38%,"7,766",27,"12,190",0,3.7,20,24%,0.00%
184,French Guiana,"3,12,155",2.49%,"7,598",4,"82,200","1,200",3.4,24,90%,0.00%
185,French Polynesia,"3,08,872",0.85%,"2,593",84,"3,660",-100,1.7,34,59%,0.00%
186,New Caledonia,"2,92,991",1.05%,"3,041",16,"18,280",500,2,34,74%,0.00%
187,Barbados,"2,81,995",0.13%,360,656,430,-80,1.6,40,32%,0.00%
188,Sao Tome & Principe,"2,31,856",1.97%,"4,476",242,960,-600,3.7,19,77%,0.00%
189,Samoa,"2,25,681",1.48%,"3,299",80,"2,830","-1,500",3.8,21,16%,0.00%
190,Curaçao,"1,92,077",0.48%,914,433,444,515,1.6,36,77%,0.00%
191,Saint Lucia,"1,80,251",0.22%,394,295,610,0,1.4,34,19%,0.00%
192,Guam,"1,72,952",0.69%,"1,178",320,540,-500,2.5,30,95%,0.00%
193,Kiribati,"1,33,515",1.74%,"2,283",165,810,-400,3.2,22,56%,0.00%
194,Grenada,"1,26,183",0.59%,745,371,340,-200,2,32,32%,0.00%
195,Tonga,"1,07,773",0.86%,915,150,720,-800,3.2,22,24%,0.00%
196,Seychelles,"1,07,660",0.51%,542,234,460,-200,2.3,33,53%,0.00%
197,Aruba,"1,06,277",-0.16%,-168,590,180,157,1.2,42,45%,0.00%
198,St. Vincent & Grenadines,"1,03,698",-0.24%,-250,266,390,-200,1.8,33,58%,0.00%
199,U.S. Virgin Islands,"98,750",-0.72%,-715,282,350,-450,2.1,43,N.A.,0.00%
200,Antigua and Barbuda,"94,298",0.57%,535,214,440,0,1.6,36,28%,0.00%
201,Isle of Man,"84,710",0.23%,191,149,570,340,1.6,46,55%,0.00%
202,Andorra,"80,088",0.33%,264,170,470,200,1.1,43,85%,0.00%
203,Dominica,"73,040",0.42%,303,97,750,-40,1.6,32,75%,0.00%
204,Cayman Islands,"69,310",0.88%,604,289,240,400,1.2,38,95%,0.00%
205,Bermuda,"64,069",-0.18%,-115,"1,281",50,0,1.4,46,94%,0.00%
206,Greenland,"56,643",0.31%,177,0,"4,10,450",-100,1.9,35,89%,0.00%
207,Faeroe Islands,"53,270",0.34%,180,38,"1,396",0,2.7,38,41%,0.00%
208,Northern Mariana Islands,"49,796",0.49%,245,108,460,-50,2.1,38,N.A.,0.00%
209,Saint Kitts & Nevis,"47,755",0.21%,98,184,260,20,1.5,35,38%,0.00%
210,Turks and Caicos,"46,062",0.79%,359,48,950,200,1.6,38,79%,0.00%
211,Sint Maarten,"44,222",0.11%,47,"1,301",34,0,1.6,48,97%,0.00%
212,American Samoa,"43,914",-0.81%,-359,220,200,-790,2.2,29,N.A.,0.00%
213,Marshall Islands,"41,996",1.03%,427,233,180,0,2.6,26,N.A.,0.00%
214,Liechtenstein,"39,584",0.65%,257,247,160,150,1.5,44,15%,0.00%
215,Monaco,"36,297",-0.47%,-172,"24,360",1,200,2.1,54,N.A.,0.00%
216,San Marino,"33,642",-0.05%,-18,561,60,100,1.1,47,99%,0.00%
217,Gibraltar,"32,688",0.12%,39,"3,269",10,-24,1.8,42,N.A.,0.00%
218,Saint Martin,"32,077",0.90%,286,605,53,0,2.4,39,0%,0.00%
219,British Virgin Islands,"31,538",0.74%,233,210,150,200,1,39,53%,0.00%
220,Caribbean Netherlands,"27,148",0.45%,122,83,328,100,1.6,40,74%,0.00%
221,Palau,"18,058",0.02%,3,39,460,-20,2.3,36,N.A.,0.00%
222,Cook Islands,"17,044",0.19%,33,71,240,-93,2.2,33,79%,0.00%
223,Anguilla,"15,899",0.26%,42,177,90,0,1.3,38,98%,0.00%
224,Nauru,"12,780",0.88%,112,639,20,-140,3.4,20,88%,0.00%
225,Wallis & Futuna,"11,502",-0.60%,-70,82,140,-119,1.9,37,0%,0.00%
226,Tuvalu,"11,396",0.74%,84,380,30,-60,3.1,25,69%,0.00%
227,Saint Barthelemy,"10,994",0.25%,27,524,21,0,1,40,0%,0.00%
228,Saint Pierre & Miquelon,"5,840",-0.38%,-22,25,230,0,1.6,44,N.A.,0.00%
229,Saint Helena,"5,314",-1.12%,-60,14,390,0,1.6,53,32%,0.00%
230,Montserrat,"4,386",-0.09%,-4,44,100,0,1.6,44,11%,0.00%
231,Falkland Islands,"3,791",0.29%,11,0,"12,170",0,1.6,40,62%,0.00%
232,Niue,"1,935",0.05%,1,7,260,0,2.4,36,41%,0.00%
233,Tokelau,"1,893",1.18%,22,189,10,0,2.6,27,0%,0.00%
234,Holy See,518,1.57%,8,"1,295",0,0,,,N.A.,0.00%
